Numéro de sinistre;Numéro du lot sinistré;Identifiant_lot;Branche;Garantie;Num police;Etat sinistre;Année de survenance;Montant Règlements totaux;Montant Règlements en principal;Montant Règlements en frais;Montant Provision ;Montant Recours;Charge nette;Montant du loyer sinistré;Date d'extraction
G-1-575382L;149360119;149360119/2015;Compensée;LI;AXEL-10-000898;SS;2015; -      ; -      ; -      ; -      ; -      ; -      ;201;28/02/2018
G10-031217L;45060004;45060004/2010;Compensée;LI;AXEL-10-000671;SS;2010; -      ; -      ; -      ; -      ; -      ; -      ;720;28/02/2018
G10-032145L;232860060;232860060/2010;Compensée;LI;AXEL-10-000103;TER;2010; 12 552    ; 8 066    ; 4 487    ; -      ;-957    ; 11 533    ;620;28/02/2018
G10-032308L;169520016;169520016/2010;Compensée;LI;AXEL-10-000359;TER;2010; 8 001    ; 5 361    ; 2 640    ; -      ;-2 229    ; 5 773    ;357;28/02/2018
G10-032877L;299470011;299470011/2010;Compensée;LI;AXEL-10-000578;NG;2010; -      ; -      ; -      ; -      ; -      ; -      ;380;28/02/2018
G10-034725L;187270016;187270016/2011;Compensée;LI;AXEL-10-000400;SS;2011; -      ; -      ; -      ; -      ; -      ; -      ;340;28/02/2018
G10-034861L;39160015;39160015/2010;Compensée;LI;AXEL-10-000107;NG;2010; -      ; -      ; -      ; -      ; -      ; -      ;465;28/02/2018
G10-555687L;401540002;401540002/2010;Compensée;LI;AXEL-10-000007;TER;2010; 12 174    ; 6 029    ; 6 145    ; -      ; -      ; 12 174    ;311;28/02/2018
G10-555704L;223240002;223240002/2010;Compensée;LI;AXEL-10-000050;TER;2010; 1 568    ; 1 568    ; -      ; -      ;-1 084    ; 485    ;650;28/02/2018
G10-555786L;205720009;205720009/2010;Compensée;LI;AXEL-10-000038;TER;2010; 8 985    ; 4 928    ; 4 058    ; -      ; -      ; 8 985    ;441;28/02/2018
G10-555805L;299700007;299700007/2010;Compensée;LI;AXEL-10-000204;TER;2010; 28 169    ; 23 656    ; 4 513    ; -      ;-1 331    ; 26 838    ;811;28/02/2018
G10-555808L;209940023;209940023/2010;Compensée;LI;AXEL-10-000675;TER;2010; 20 431    ; 15 067    ; 5 364    ; -      ; -      ; 20 431    ;837;28/02/2018
G10-555824L;232310003;232310003/2010;Compensée;LI;AXEL-10-000319;TER;2010; 18 200    ; 11 460    ; 6 739    ; -      ; -      ; 18 200    ;437;28/02/2018
G10-555836L;264140007;264140007/2010;Compensée;LI;AXEL-10-000149;TER;2010; 3 287    ; 1 760    ; 1 527    ; -      ;-1 760    ; 1 527    ;590;28/02/2018
G10-555856L;272300006;272300006/2010;Compensée;LI;AXEL-10-000119;TER;2010; 13 965    ; 8 005    ; 5 960    ; -      ;-164    ; 13 801    ;623;28/02/2018
G10-555866L;167900007;167900007/2010;Compensée;LI;AXEL-10-000760;TER;2010; 2 676    ; 1 861    ; 815    ; -      ;-1 703    ; 973    ;480;28/02/2018
G10-555867L;186470006;186470006/2010;Compensée;LI;AXEL-10-000267;TER;2010; 40 736    ; 35 840    ; 4 896    ; -      ;-4 688    ; 36 049    ;650;28/02/2018
G10-555873L;266840002;266840002/2010;Compensée;LI;AXEL-10-000653;TER;2010; 419    ; 419    ; -      ; -      ;-749    ;-330    ;635;28/02/2018
G10-555876L;214750003;214750003/2010;Compensée;LI;AXEL-10-000320;SS;2010; -      ; -      ; -      ; -      ; -      ; -      ;550;28/02/2018
